epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6097.61,1.92754,2.06564,2.46705,0.61988,0.58333,0.6049,0.35903,1.18222,5.26475,1.5052,0.000741194,0.000741194,0.000741194
43,6244.87,2.01101,2.23104,2.46287,0.75976,0.65916,0.7053,0.39427,1.11488,3.88517,1.42992,0.000729725,0.000729725,0.000729725
44,6405.57,1.9491,2.1387,2.43417,0.75125,0.58333,0.59975,0.26099,1.28846,3.50392,1.56502,0.000718103,0.000718103,0.000718103
45,6548.41,2.0241,2.07342,2.44207,0.70806,0.70743,0.7295,0.453,1.0702,6.31345,1.38866,0.000706335,0.000706335,0.000706335
46,6689.89,2.03278,2.22646,2.44436,0.79355,0.58333,0.73271,0.37826,1.23645,11.1131,1.45148,0.000694428,0.000694428,0.000694428
47,6836.64,1.95794,2.15335,2.41969,0.69146,0.66667,0.71928,0.35895,1.1903,2.69061,1.512,0.000682392,0.000682392,0.000682392
48,6994.57,1.92559,2.17112,2.37515,0.7714,0.70323,0.7553,0.46479,1.03162,3.99086,1.44731,0.000670234,0.000670234,0.000670234
49,7131.08,2.01409,2.19782,2.46689,0.80128,0.67228,0.74451,0.31374,1.27173,4.0251,1.53957,0.000657963,0.000657963,0.000657963
50,7269.41,1.96799,2.13146,2.3795,0.94149,0.67069,0.79959,0.4955,1.03016,3.84913,1.4113,0.000645588,0.000645588,0.000645588
51,7412.59,1.86695,2.07144,2.37422,0.89603,0.75,0.81983,0.51401,1.09642,4.0671,1.42596,0.000633115,0.000633115,0.000633115
52,7569.73,1.96863,2.18131,2.41158,1,0.7397,0.81434,0.48557,1.06901,3.91411,1.3557,0.000620555,0.000620555,0.000620555
53,7710.82,1.85962,2.08826,2.31108,0.93473,0.75,0.8227,0.44698,1.15675,3.44886,1.39252,0.000607916,0.000607916,0.000607916
54,7849.33,1.88054,2.07009,2.32734,0.79094,0.70833,0.76987,0.41464,1.12509,3.58549,1.39067,0.000595207,0.000595207,0.000595207
55,7993.56,1.79114,1.97494,2.26158,0.88388,0.79167,0.86956,0.484,1.08936,8.44342,1.36722,0.000582435,0.000582435,0.000582435
56,8147.69,1.87202,1.86498,2.29849,0.82575,0.79167,0.84482,0.53362,1.02827,6.66039,1.34219,0.00056961,0.00056961,0.00056961
57,8287.67,1.91512,1.99348,2.31508,0.79642,0.75,0.75171,0.42952,1.16021,2.98362,1.41269,0.000556742,0.000556742,0.000556742
58,8426.11,1.93477,2.03392,2.28543,0.75845,0.78521,0.77137,0.48691,0.96831,3.11133,1.34134,0.000543837,0.000543837,0.000543837
59,8569.82,1.78011,1.97284,2.25868,0.89942,0.7454,0.78582,0.44944,1.02131,2.36237,1.33701,0.000530906,0.000530906,0.000530906
60,8724.04,1.79059,1.9311,2.28783,0.99739,0.83333,0.89217,0.49338,1.05387,2.47445,1.30542,0.000517958,0.000517958,0.000517958
61,8867.27,1.81971,1.95935,2.28,0.86261,0.78508,0.83182,0.47434,1.08617,2.16452,1.34771,0.000505,0.000505,0.000505
62,9004.67,1.72266,1.76788,2.22876,0.93841,0.83333,0.89146,0.56313,0.95759,3.32009,1.26081,0.000492042,0.000492042,0.000492042
63,9151.03,1.79749,1.89963,2.30538,0.89848,0.79167,0.80386,0.55553,0.95272,4.80236,1.29224,0.000479094,0.000479094,0.000479094
64,9306.06,1.79308,1.86792,2.23723,0.77978,0.70833,0.79049,0.42338,1.09372,8.89702,1.3063,0.000466163,0.000466163,0.000466163
65,9444.76,1.82721,1.91615,2.26528,0.92734,0.75,0.82818,0.48423,1.02738,6.24342,1.27714,0.000453258,0.000453258,0.000453258
66,9582.89,1.83373,1.84203,2.20768,0.77476,0.86028,0.88179,0.39346,1.30454,3.03209,1.42162,0.00044039,0.00044039,0.00044039
67,9727.68,1.71009,1.75715,2.17507,0.74819,0.86686,0.88206,0.56511,0.93566,3.6339,1.20846,0.000427565,0.000427565,0.000427565
68,9880.29,1.78661,1.70403,2.21663,0.84253,0.79167,0.86844,0.45792,1.09653,4.30197,1.33603,0.000414793,0.000414793,0.000414793
69,10020.1,1.88978,1.86578,2.30369,0.90554,0.79919,0.88727,0.58151,0.85437,3.68683,1.19741,0.000402084,0.000402084,0.000402084
70,10157.3,1.73238,1.78784,2.18748,0.86651,0.83333,0.8362,0.58052,0.88684,4.4256,1.23137,0.000389445,0.000389445,0.000389445
71,10302.3,1.73216,1.70156,2.15441,0.94058,0.79167,0.82449,0.50478,0.98217,4.79857,1.25073,0.000376885,0.000376885,0.000376885
72,10462.3,1.70365,1.73004,2.17692,0.94217,0.83333,0.86638,0.59829,0.87825,2.86264,1.21503,0.000364412,0.000364412,0.000364412
73,10602.4,1.68649,1.81944,2.15438,0.95206,0.82774,0.89901,0.57097,0.88,2.12015,1.20405,0.000352037,0.000352037,0.000352037
74,10739.4,1.70413,1.84278,2.17024,1,0.82872,0.88488,0.54615,0.95076,1.82785,1.25187,0.000339766,0.000339766,0.000339766
75,10886.3,1.67229,1.7031,2.11479,0.9515,0.81784,0.86298,0.55318,0.85266,2.382,1.19474,0.000327608,0.000327608,0.000327608
76,11044.8,1.58403,1.63147,2.08757,0.83332,0.875,0.85591,0.52645,0.96978,2.77685,1.25435,0.000315572,0.000315572,0.000315572
77,11181.1,1.70236,1.82026,2.10808,0.89502,0.79167,0.85735,0.57155,0.88713,3.41848,1.20288,0.000303665,0.000303665,0.000303665
78,11322.1,1.59611,1.59204,2.03423,1,0.78973,0.87527,0.5457,0.95208,2.4764,1.21614,0.000291897,0.000291897,0.000291897
79,11468.2,1.58969,1.65044,2.02223,0.94327,0.79167,0.87417,0.55723,0.9318,2.66401,1.20989,0.000280275,0.000280275,0.000280275
80,11622,1.7823,1.69653,2.11438,0.94564,0.79167,0.88327,0.50407,1.00658,3.35949,1.25169,0.000268806,0.000268806,0.000268806
81,11764.9,1.58253,1.62408,2.05616,1,0.82723,0.88712,0.58184,0.87694,3.69091,1.19387,0.0002575,0.0002575,0.0002575
82,11904.9,1.57087,1.64827,2.08119,0.97957,0.79167,0.88447,0.57578,0.94063,2.23593,1.21556,0.000246363,0.000246363,0.000246363
83,12049.9,1.47471,1.52138,2.0205,0.93199,0.79167,0.85484,0.5539,1.01969,2.08219,1.28088,0.000235404,0.000235404,0.000235404
84,12204.6,1.62032,1.53983,2.03471,0.95191,0.82511,0.85376,0.60099,0.88688,2.14925,1.2119,0.000224629,0.000224629,0.000224629
85,12346.2,1.71671,1.74079,2.05608,1,0.82318,0.87912,0.56502,0.98642,2.35843,1.23789,0.000214046,0.000214046,0.000214046
86,12485.5,1.62801,1.60437,2.02707,0.9935,0.83333,0.89592,0.55742,1.0372,2.22038,1.25519,0.000203663,0.000203663,0.000203663
87,12637.3,1.55306,1.57302,1.92378,0.95908,0.83333,0.8799,0.61949,0.88571,1.9869,1.20225,0.000193486,0.000193486,0.000193486
88,12788.1,1.5459,1.43068,1.95595,0.98296,0.83333,0.8766,0.61802,0.81415,2.17879,1.15819,0.000183523,0.000183523,0.000183523
89,12940.9,1.58361,1.64013,2.04504,0.95394,0.83333,0.87858,0.5858,0.86141,2.11632,1.17362,0.00017378,0.00017378,0.00017378
